model,language,category,emotion,condition,mean_cosine_similarity_top_10,mean_projection_top_10,category_retention_at_10,unique_candidates
bielik_1_5b_v3,en,food,anger,emotion,0.9010139048099518,0.03152397060766812,1.0,10
bielik_1_5b_v3,en,food,anger,identity,0.9389204561710358,0.00964207462966441,1.0,10
bielik_1_5b_v3,en,food,anger,random,0.6498300909996033,0.01560277072712776,1.0,10
bielik_1_5b_v3,en,food,anger,shuffled_emotion,0.9045726895332337,0.0333046561107039,1.0,10
bielik_1_5b_v3,en,food,disgust,emotion,0.8979402720928192,0.03498175460845228,1.0,10
bielik_1_5b_v3,en,food,disgust,identity,0.9389204561710358,0.009556601522490379,1.0,10
bielik_1_5b_v3,en,food,disgust,random,0.6676987290382386,0.02108450634405014,1.0,10
bielik_1_5b_v3,en,food,disgust,shuffled_emotion,0.9073331475257873,0.035498210787773085,1.0,10
bielik_1_5b_v3,en,food,joy,emotion,0.9073331475257873,0.04655105136334891,1.0,10
bielik_1_5b_v3,en,food,joy,identity,0.9389204561710358,0.016588531620800477,1.0,10
bielik_1_5b_v3,en,food,joy,random,0.6514226496219635,0.03396061295643445,1.0,10
bielik_1_5b_v3,en,food,joy,shuffled_emotion,0.9010139048099518,0.042479032836854405,1.0,10
bielik_1_5b_v3,en,food,sadness,emotion,0.9045726895332337,0.04027973785996434,1.0,10
bielik_1_5b_v3,en,food,sadness,identity,0.9389204561710358,0.014124665316194298,1.0,10
bielik_1_5b_v3,en,food,sadness,random,0.6721645653247833,0.02052851822227238,1.0,10
bielik_1_5b_v3,en,food,sadness,shuffled_emotion,0.8979402720928192,0.03674152698367831,1.0,10
bielik_1_5b_v3,en,object,anger,emotion,0.8996038258075714,0.048392214000694045,1.0,10
bielik_1_5b_v3,en,object,anger,identity,0.935039508342743,0.020812868027485516,1.0,10
bielik_1_5b_v3,en,object,anger,random,0.6596496105194092,0.025500614641703286,1.0,10
bielik_1_5b_v3,en,object,anger,shuffled_emotion,0.9018045008182526,0.0563391105537336,1.0,10
bielik_1_5b_v3,en,object,disgust,emotion,0.8944186270236969,0.0502822992986553,1.0,10
bielik_1_5b_v3,en,object,disgust,identity,0.935039508342743,0.013486521424587918,1.0,10
